,power_consumption,SmallProduction,BigProduction
0,7.923445535296868,10,20
1,7.968700327255727,10,20
2,7.914258999532492,10,20
3,7.9426601215521275,10,20
4,7.976320710612436,10,20
5,7.91778868630201,10,20
6,7.818022440392707,10,20
7,7.812061711079944,10,20
8,7.775712949976624,10,20
9,7.841514726507714,10,20
10,7.760846189808322,10,20
11,7.631486676016831,10,20
12,7.637540906965872,10,20
13,7.630294530154277,10,20
14,7.608625525946704,10,20
15,7.532281439925199,10,20
16,7.537283777466105,10,20
17,7.453599812996728,10,20
18,7.456895745675549,10,20
19,7.542379616643291,10,20
20,7.515217391304349,10,20
21,7.431438596491228,10,20
22,7.3407719298245615,10,20
23,7.20374269005848,10,20
24,7.168631578947368,10,20
25,7.196631578947369,10,20
26,7.123766081871345,10,20
27,7.133660818713451,10,20
28,7.091672514619883,10,20
29,7.063251461988304,10,20
30,6.983473782771536,10,20
31,6.93005617977528,10,20
32,6.865238764044944,10,20
33,6.822308052434457,10,20
34,6.8312265917602994,10,20
35,6.782116104868914,10,20
36,6.7788389513108624,10,20
37,6.880149812734083,10,20
38,6.79129213483146,10,20
39,6.755852059925094,10,20
40,6.807607677902621,10,20
41,6.68691479400749,10,20
42,6.6430477528089895,10,20
43,6.692088014981273,10,20
44,6.673806179775281,10,20
45,6.7406835205992515,10,20
46,6.673572097378277,10,20
47,6.563576779026217,10,20
48,6.540800561797753,10,20
49,6.5128979400749065,10,20
50,6.472073970037453,10,20
51,6.502691947565544,10,20
52,6.497191011235955,10,20
53,6.476989700374532,10,20
54,6.503885767790262,10,20
55,6.4430477528089884,10,20
56,6.379002808988765,10,20
57,6.3786048689138575,10,20
58,6.355875468164794,10,20
59,6.314676966292135,10,20
60,6.267860486891385,10,20
61,6.2701076779026215,10,20
62,6.327972846441948,10,20
63,6.44311797752809,10,20
64,6.355711610486891,10,20
65,6.383450374531835,10,20
66,6.3625234082397,10,20
67,6.282116104868914,10,20
68,6.331109550561798,10,20
69,6.3019897003745315,10,20
70,6.297214419475655,10,20
71,6.355922284644195,10,20
72,6.335884831460674,10,20
73,6.298806179775281,10,20
74,6.292556179775281,10,20
75,6.26439606741573,10,20
76,6.235112359550561,10,20
77,6.170880149812734,10,20
78,6.133824906367042,10,20
79,6.1448033707865175,10,20
80,6.137172284644195,10,20
81,6.093586142322097,10,20
82,6.133005617977528,10,20
83,6.13188202247191,10,20
84,6.02312734082397,10,20
85,5.9165730337078655,10,20
86,5.897612359550562,10,20
87,5.856928838951311,10,20
88,5.939255617977528,10,20
89,5.952270599250936,10,20
90,5.977574906367042,10,20
91,5.976029962546817,10,20
92,5.914770599250936,10,20
93,5.970435393258427,10,20
94,5.929143258426967,10,20
95,5.850046816479401,10,20
96,5.893937265917604,10,20
97,5.904845505617978,10,20
98,5.832911985018727,10,20
99,5.885229400749064,10,20
100,5.840426029962547,10,20
101,5.82563202247191,10,20
102,5.812242509363296,10,20
103,5.847565543071161,10,20
104,5.817392322097379,10,20
